bufferSize,time_s,time_ms,time_us,first_10_caracters
10,0,0,189,TGCVLKNDUR
1034,0,0,87,CCLTTOMIBX
2058,0,0,58,NJZOTODSBC
3082,0,0,79,VYURJQWENR
4106,0,0,79,KNBKGURBCL
5130,0,0,77,VOKJVQGQGL
6154,0,0,74,ZCPDMTJRUW
7178,0,0,76,BEUFYJWFLX
8202,0,0,73,OUDCPJVZIR
9226,0,0,79,RIDMLMVUDQ
10250,0,0,85,VVLNGMWIVF
11274,0,0,95,OFWLLJBCJP
12298,0,0,80,UBKIBSHKJI
13322,0,0,82,CIWXSZXMKV
14346,0,0,78,QFVGDZYCKY
15370,0,0,111,IXQIFCJIKZ
16394,0,0,87,VTEEJYBMRU
17418,0,0,136,ZTLBYLYPUX
18442,0,0,91,RXSPEHLDGM
19466,0,0,120,TUFXTGOKCQ
20490,0,0,107,HHWLPDRXJZ
21514,0,0,117,PKVQGKDOMP
22538,0,0,118,GHDQEFRZOV
23562,0,0,105,SEPZMFUUKV
24586,0,0,165,CWWJMBMLBP
25610,0,0,151,ZXZNVPLNMC
26634,0,0,122,MSDTNMPDIR
27658,0,0,131,BIFTIDOOJB
28682,0,0,138,NLZKYMDGLR
29706,0,0,107,DDYMHDGIPK
30730,0,1,1130,OLTFKPYSNM
31754,0,0,130,VNDOHRPTDF
32778,0,1,1118,IPUBVUVKMW
33802,0,0,122,JOFXXWMBII
34826,0,0,121,KJOJCNMFYH
35850,0,0,116,ZSRBZKOLIW
36874,0,0,300,OQIPCFSJSQ
37898,0,1,1035,ODNKWDJNTF
38922,0,1,1601,ZNZBNDMPYN
39946,0,3,3432,SGXXGOWVQD
40970,0,0,104,BTMGGTKIWF
41994,0,0,153,EMCBCPFGCT
43018,0,0,85,UYEMOKHXON
44042,0,0,87,YYZVDXLNEP
45066,0,0,90,HNTBWSRONN
46090,0,8,8193,KQDITCFHKW
47114,0,0,236,NVVBBGIZSD
48138,0,0,168,KVIIKEGHUK
49162,0,0,118,EQEOHOVVUT
50186,0,0,174,XPMNBDMDEM
51210,0,0,119,WWQFGROVVX
52234,0,0,93,PNTFZKQVQM
53258,0,0,111,HOUCJWGVLK
54282,0,0,219,ZSDOFUFLLG
55306,0,0,132,TBWKQGZQXL
56330,0,0,524,GEUWOIZQUG
57354,0,0,225,PDNZOYBJKN
58378,0,0,94,YVCMQNUHYB
59402,0,0,110,RVKHMCGCHF
60426,0,0,559,ZVTLYGSBBS
61450,0,0,239,ICDTCWBLHO
62474,0,0,874,ZNNSMKZDRH
63498,0,0,214,JQSCEDMFTJ
