bufferSize,time_s,time_ms,time_us,time_ns,first_10_caracters
1024,0,0,742,742000,RWXCQOAZZB
2048,0,0,99,99000,RWXCQOAZZB
3072,0,0,90,90000,RWXCQOAZZB
4096,0,0,105,105000,RWXCQOAZZB
5120,0,0,102,102000,RWXCQOAZZB
6144,0,0,103,103000,RWXCQOAZZB
7168,0,0,124,124000,RWXCQOAZZB
8192,0,0,129,129000,RWXCQOAZZB
9216,0,0,115,115000,RWXCQOAZZB
10240,10,10001,10001112,10001112000,QVWBQOAZZB
11264,10,10001,10001107,10001107000,WMPJJASYSO
12288,10,10001,10001114,10001114000,CDLUFPNXIE
13312,10,10001,10001136,10001136000,IXEFYBFTBR
14336,10,9982,9982996,9982996000,OOANRNASUE
15360,10,9985,9985560,9985560000,UFTYNZSRNU
16384,10,9992,9992843,9992843000,AZPGGLNQGH
17408,10,9996,9996695,9996695000,GQIRZAFMWU
18432,10,9998,9998400,9998400000,MHEZVMALPK
19456,10,9999,9999852,9999852000,SYAKOYSKIX
20480,10,10000,10000408,10000408000,YSTVHKNJBN
21504,10,10000,10000714,10000714000,EJPDDWFIUA
22528,10,10000,10000866,10000866000,KAIOWLAEKN
23552,10,10000,10000989,10000989000,QUEWPXSDDD
24576,10,10000,10000981,10000981000,WLXHLJNCWQ
25600,10,10000,10000813,10000813000,CCTSEVFBPD
26624,10,10001,10001015,10001015000,IWMAXHXAIT
27648,10,10001,10001042,10001042000,ONILTTSWYG
28672,10,10001,10001010,10001010000,UEETMIKVRT
29696,10,10000,10000249,10000249000,AYXEFUFUKJ
30720,10,10001,10001034,10001034000,GPTMBGXTDW
31744,10,10000,10000979,10000979000,MGMXUSSSWJ
32768,10,10000,10000944,10000944000,SAIINEKOMZ
33792,10,10000,10000949,10000949000,YRBQJTFNFM
34816,10,10000,10000971,10000971000,EIXBCFXMYZ
35840,10,10000,10000992,10000992000,KCQJVRSLRP
36864,10,10001,10001018,10001018000,QTMURDKHKC
37888,10,10001,10001002,10001002000,WKIFKPFGAP
38912,10,10001,10001066,10001066000,CBBNDEXFTF
39936,10,10001,10001001,10001001000,IVXYZQSEMS
40960,10,10001,10001710,10001710000,OMQGSCKDFF
41984,10,10000,10000943,10000943000,UDMRLOFZVV
43008,10,10001,10001024,10001024000,AXFCEAXYOI
44032,10,10000,10000987,10000987000,GOBKAMPXHY
45056,10,10000,10000965,10000965000,MFUVTBKWAL
46080,10,10001,10001020,10001020000,SZQDMNCVTY
47104,10,10000,10000996,10000996000,YQMOIZXRJO
48128,10,10000,10000044,10000044000,EHFWBLPQCB
49152,10,10000,10000964,10000964000,KBBHUXKPVO
50176,10,10000,10000354,10000354000,QSUSQMCOOE
51200,10,10001,10001068,10001068000,WJQAJYXNHR
52224,10,10001,10001037,10001037000,CDJLCKPJXE
53248,10,10001,10001054,10001054000,IUFTYWKIQU
54272,10,10001,10001039,10001039000,OLYERICHJH
55296,10,10000,10000821,10000821000,UFUPKXXGCU
56320,10,10000,10000973,10000973000,AWQXGJPCVK
57344,10,10000,10000979,10000979000,GNJIZVKBLX
58368,10,10001,10001092,10001092000,MEFQSHCAEK
59392,10,10000,10000987,10000987000,SYYBOTXZXA
60416,10,10001,10001065,10001065000,YPUJHIPYQN
61440,10,10001,10001068,10001068000,EGNUAUHUJA
62464,10,10000,10000534,10000534000,KAJFWGCTZQ
63488,10,10001,10001006,10001006000,QRCNPSUSSD
64512,10,10000,10000524,10000524000,WIYYIEPRLQ
