Attempt at             | Total               | Average             | Correct answers
-----------------------|---------------------|---------------------|----------------
16/10/2024 às 15:01:12 | 00h 00min 07s 918ms | 00h 00min 00s 692ms | 3/10
16/10/2024 às 15:02:12 | 00h 00min 02s 918ms | 00h 00min 00s 392ms | 6/10
16/10/2024 às 15:03:12 | 00h 00min 08s 918ms | 00h 00min 00s 552ms | 2/10
16/10/2024 às 15:04:12 | 00h 00min 15s 918ms | 00h 00min 00s 742ms | 8/10
16/10/2024 às 15:05:12 | 00h 00min 08s 918ms | 00h 00min 00s 232ms | 9/10
16/10/2024 às 15:06:12 | 00h 00min 04s 918ms | 00h 00min 00s 652ms | 7/10
16/10/2024 às 15:08:12 | 00h 00min 03s 918ms | 00h 00min 00s 892ms | 2/10
16/10/2024 às 15:09:12 | 00h 00min 02s 918ms | 00h 00min 00s 232ms | 5/10
16/10/2024 às 15:09:32 | 00h 00min 09s 918ms | 00h 00min 00s 132ms | 7/10
16/10/2024 às 15:09:43 | 00h 00min 06s 918ms | 00h 00min 00s 672ms | 10/10
16/10/2024 às 15:17:06 | 00h 00min 00s 811ms | 00h 00min 00s 081ms | 2/10
29/10/2024 às 15:23:30 | 00h 00min 01s 869ms | 00h 00min 00s 187ms | 3/10
